id;id_autheur;autheur
1;9877827a-1fed-449b-a8e5-5af7219f318e;Checking Account innovate Creek
2;50d3e01b-68bf-42ba-8d6c-21ae4d526009;artificial intelligence
3;d8151550-f9db-42cd-96af-92de9616936e;purple background Metal
4;75b92c0a-644c-40f4-a48c-e59c18e392a3;primary payment Azerbaijanian Manat
5;31d3297f-bf89-4c19-a005-7e9bc8eaa4a6;primary applications Rustic
6;31e1beee-19f1-4e9b-9ef1-9503e580a33c;deliver Virgin Islands, British deposit
7;b5ff2de9-8a82-4a92-94cb-a7eb74d414a4;Electronics value-added
8;d4e14a02-f5a1-4ffe-ab80-00f391b6dad1;California
9;27fd25e4-dfb6-47b8-a8fe-121fc9459829;haptic
10;4e348c98-e753-4a8d-81a3-966ef8931e72;alarm
