id;id_emplacement;nom_emplacement
1;4f1fe525-37c9-4c30-886c-fa6f88db9773;open-source plug-and-play
2;5f6ff80b-9b25-4b54-a26f-c94fe6f6b485;interface
3;f2404f54-5a1a-4042-acf7-00a1c9c552fd;Guam
4;70187bdc-4cd9-429a-abce-a78b762a536c;Avon connecting
5;e309fc0b-412b-4454-a5a5-73fae227819c;Valleys magenta
6;23536a9a-6b90-447c-99f6-e81e2f7a583a;generate connecting
7;87b798d1-7bed-4909-a64d-ab442d4643e0;Belize Fantastic Cotton Towels Refined
8;732a6eef-9cd2-499f-aba3-c1262ab032e4;GB Technician clicks-and-mortar
9;c53f0f8c-fac3-4446-88ce-c5651dd6adb9;Uganda
10;42e77d2e-a95c-469e-bca9-a79bb38cb065;content generating
