id;id_livre;titre;description;isbn;code
1;2d6a0128-13f0-467b-9d54-2b113e228059;parse;Metrics Guatemala;networks Awesome Rubber Chips;Gorgeous Frozen Chicken Quality
2;68940a6e-d3a0-4660-825a-3ab16c4c43b1;function;B2C;Liberian Dollar local reboot;indexing
3;550ae8bf-8d73-464f-ba94-ce2ca2351f76;deposit;Interactions Cambridgeshire;Marketing Home Loan Account Mississippi;lavender
4;763f381b-4239-4262-8421-b4cc54dc3f4f;digital dot-com;Handcrafted compressing overriding;Beauty Granite Dynamic;THX compress cross-platform
5;9d7d3598-dd96-4907-8389-b91ce05edd6f;synthesizing;grey Soap;Future Cheese;calculating Rhode Island
6;d41d5a0f-a93a-4a4a-acce-800bbae5065a;navigate payment dedicated;EXE;synthesizing Hawaii Frozen;moderator scalable salmon
7;4c770aa6-829c-4129-8375-0562abd0709e;Vermont Sierra Leone;withdrawal Harbors;orange Refined Cotton Pants;SAS Facilitator
8;9e4ccfd8-9f48-4056-96f2-10ebc4531809;Agent;dynamic Incredible Bedfordshire;solid state methodologies Alaska;XSS encompassing India
9;cdd330a0-01d7-446e-a8ba-c95b33890527;1080p seamless;neural port Strategist;SMS;panel grey Internal
10;ae3e1a24-fd31-4dc6-94dd-b6f0d1b04da3;transmit Auto Loan Account;Books users invoice;Colorado compressing;Kina Automated
